,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Non-Conf,Strk,Last 5
0,Baltimore Ravens,14,2,0,0.875,531,282,249,7 - 1 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,4 - 0 - 0,12W,5 - 0 - 0
1,San Francisco 49ers,13,3,0,0.813,479,310,169,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,3 - 1 - 0,2W,3 - 2 - 0
2,New Orleans Saints,13,3,0,0.813,458,341,117,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.750,9 - 3 - 0,4 - 0 - 0,3W,4 - 1 - 0
3,Green Bay Packers,13,3,0,0.813,376,313,63,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,0.833,10 - 2 - 0,3 - 1 - 0,5W,5 - 0 - 0
4,New England Patriots,12,4,0,0.750,420,225,195,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.667,8 - 4 - 0,4 - 0 - 0,1L,2 - 3 - 0
5,Kansas City Chiefs,12,4,0,0.750,451,308,143,5 - 3 - 0,7 - 1 - 0,6 - 0 - 0,0.750,9 - 3 - 0,3 - 1 - 0,6W,5 - 0 - 0
6,Seattle Seahawks,11,5,0,0.688,405,398,7,4 - 4 - 0,7 - 1 - 0,3 - 3 - 0,0.667,8 - 4 - 0,3 - 1 - 0,2L,2 - 3 - 0
7,Minnesota Vikings,10,6,0,0.625,407,303,104,6 - 2 - 0,4 - 4 - 0,2 - 4 - 0,0.583,7 - 5 - 0,3 - 1 - 0,2L,2 - 3 - 0
8,Houston Texans,10,6,0,0.625,378,385,-7,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,2 - 2 - 0,1L,3 - 2 - 0
9,Buffalo Bills,10,6,0,0.625,314,259,55,4 - 4 - 0,6 - 2 - 0,3 - 3 - 0,0.583,7 - 5 - 0,3 - 1 - 0,2L,2 - 3 - 0
10,Tennessee Titans,9,7,0,0.563,402,331,71,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.583,7 - 5 - 0,2 - 2 - 0,1W,3 - 2 - 0
11,Philadelphia Eagles,9,7,0,0.563,385,354,31,5 - 3 - 0,4 - 4 - 0,5 - 1 - 0,0.583,7 - 5 - 0,2 - 2 - 0,4W,4 - 1 - 0
12,Los Angeles Rams,9,7,0,0.563,394,364,30,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.583,7 - 5 - 0,2 - 2 - 0,1W,3 - 2 - 0
13,Pittsburgh Steelers,8,8,0,0.500,289,303,-14,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,2 - 2 - 0,3L,2 - 3 - 0
14,Dallas Cowboys,8,8,0,0.500,434,321,113,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.583,7 - 5 - 0,1 - 3 - 0,1W,2 - 3 - 0
15,Chicago Bears,8,8,0,0.500,280,298,-18,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.583,7 - 5 - 0,1 - 3 - 0,1W,3 - 2 - 0
16,Tampa Bay Buccaneers,7,9,0,0.438,458,449,9,2 - 6 - 0,5 - 3 - 0,2 - 4 - 0,0.417,5 - 7 - 0,2 - 2 - 0,2L,3 - 2 - 0
17,Oakland Raiders,7,9,0,0.438,313,419,-106,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.417,5 - 7 - 0,2 - 2 - 0,1L,1 - 4 - 0
18,New York Jets,7,9,0,0.438,276,359,-83,5 - 3 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,3 - 1 - 0,2W,3 - 2 - 0
