,Link,Name,Price,Color,Description
0,,,,,
1,https://www.carpages.ca/new-cars/alberta/fort-saskatchewan/2021-ford-escape-6701090/,2021 Ford Escape,"$43,999 ",Black,Titanium Hybrid
2,https://www.carpages.ca/new-cars/alberta/fort-saskatchewan/2021-ford-escape-6701072/,2021 Ford Escape,"$43,649 ",White,Titanium Hybrid
3,https://www.carpages.ca/new-cars/alberta/fort-saskatchewan/2021-ford-explorer-6701069/,2021 Ford Explorer,"$58,999 ",White,LIMITED
4,https://www.carpages.ca/new-cars/saskatchewan/regina/2021-lexus-ux-6700598/,2021 Lexus UX,"$51,145 ",Silver,250H
5,https://www.carpages.ca/new-cars/saskatchewan/regina/2021-lexus-ux-6700595/,2021 Lexus UX,"$47,645 ",Green,250H
6,https://www.carpages.ca/new-cars/british-columbia/surrey/2021-ford-escape-6700430/,2021 Ford Escape,"$45,449 ",Red,Titanium Hybrid
7,https://www.carpages.ca/new-cars/prince-edward-island/charlottetown/2020-hyundai-ioniq-hybrid-6700403/,2020 Hyundai Ioniq Hybrid,"$27,439 ",Red,ESSENTIAL
8,https://www.carpages.ca/used-cars/ontario/beamsville/2017-chevrolet-volt-6700340/,2017 Chevrolet Volt,"$17,995 ",Blue,Premier
9,https://www.carpages.ca/used-cars/ontario/beamsville/2017-hyundai-ioniq-6700322/,2017 Hyundai IONIQ,"$19,995 ",White,Limited
10,https://www.carpages.ca/used-cars/ontario/beamsville/2019-chevrolet-volt-6700313/,2019 Chevrolet Volt,"$28,995 ",Silver,LT
11,https://www.carpages.ca/used-cars/ontario/beamsville/2019-chevrolet-bolt-6700310/,2019 Chevrolet Bolt,"$33,995 ",Green,LT
12,https://www.carpages.ca/used-cars/ontario/bolton/2016-toyota-camry-6700274/,2016 Toyota Camry,"$16,499 ",Burgundy,Hybrid SE|Heated seats|Camera|Power leather seats|
13,https://www.carpages.ca/used-cars/british-columbia/surrey/2014-nissan-leaf-6699332/,2014 Nissan Leaf,"$13,995 ",Red,"S, accident free"
14,https://www.carpages.ca/used-cars/ontario/harriston/2017-ford-c-max-6699155/,2017 Ford C-MAX,"$16,500 ",Gold,SE
15,https://www.carpages.ca/new-cars/saskatchewan/kindersley/2021-ford-f-150-6699125/,2021 Ford F-150,"$95,024 ",Star White Tri-Coat,Limited  - Leather Seats
16,https://www.carpages.ca/new-cars/saskatchewan/kindersley/2021-ford-escape-6699122/,2021 Ford Escape,"$42,548 ",Carbonized Grey Metallic,SEL Hybrid AWD
17,https://www.carpages.ca/new-cars/british-columbia/surrey/2021-ram-1500-6698972/,2021 RAM 1500,"$90,372 ",Ivory Tri-Coat Pearl,Longhorn  - Sunroof
