,Link,title,company,salary,date,location
0,,,,,,
1,https://www.indeed.com/rc/clk?jk=3dde0133818987f0&fccid=80a9b1572566bb76&vjs=3,Data Scientist - Entry Level,Numerdox,N/A,30+ days ago,"Sacramento, CA"
2,https://www.indeed.com/rc/clk?jk=a12209822929be49&fccid=22b444291391d96f&vjs=3,Vitria Data Scientist,Vitria Technology,N/A,30+ days ago,"Menlo Park, CA 94025 (Lorelei Manor area)"
3,https://www.indeed.com/rc/clk?jk=1dc8bc0a8e0cc0bd&fccid=75a3a5a15b202084&vjs=3,Data Scientist,Experian,N/A,Today,"San Diego, CA 92130 (Carmel Valley area)"
4,https://www.indeed.com/rc/clk?jk=1636faa0308fd08f&fccid=1577085fc2290983&vjs=3,Data Scientist,Source Enterprises,N/A,30+ days ago,"New York, NY 10036 (Midtown area)"
5,https://www.indeed.com/rc/clk?jk=186d2aa111994946&fccid=69c7d55b78dc7424&vjs=3,Data Scientist - New College Grad,Proofpoint,N/A,30+ days ago,"Sunnyvale, CA 94085"
6,https://www.indeed.com/rc/clk?jk=bd2d32a1e6455d95&fccid=734cb5a01ee60f80&vjs=3,Full Time Opportunities for Students & Recent Graduates - MA...,Microsoft,N/A,30+ days ago,"Cambridge, MA"
7,https://www.indeed.com/rc/clk?jk=da993780f43a389c&fccid=1220ad3971071315&vjs=3,"Data Scientist, LTV",Time Warner,N/A,4 days ago,"Los Angeles, CA"
8,https://www.indeed.com/rc/clk?jk=04f7139e39c5ee05&fccid=4e041af1d0af1bc8&vjs=3,"Data Scientist, Junior",Booz Allen Hamilton,N/A,Today,"Lexington, MA 02421"
9,https://www.indeed.com/rc/clk?jk=3d5724ad39c214bb&fccid=9993304a3df214bf&vjs=3,Data Scientist - Analytics,Acorn Analytics,N/A,30+ days ago,Remote
10,https://www.indeed.com/rc/clk?jk=9b85065be5180ac6&fccid=fe404d18bb9eef1e&vjs=3,Data Scientist - Podcasts (Remote Eligible - Americas),Spotify,N/A,1 day ago,"New York, NY"
11,https://www.indeed.com/rc/clk?jk=2f480e4f5e1f0565&fccid=f368300325e8e8bc&vjs=3,Applied Data Scientist,Snapchat,N/A,2 days ago,"Los Angeles, CA 90291 (Venice area)"
12,https://www.indeed.com/rc/clk?jk=abdf99416570e5a9&fccid=cb8355041fe4a920&vjs=3,Data Scientist,Government of the District of Columbia,"$82,326 - $105,339 a year",1 day ago,"Washington, DC 20001 (Judiciary Square area)"
13,https://www.indeed.com/rc/clk?jk=14a816095c587abf&fccid=585d6a948fef2fbc&vjs=3,Senior Data Scientist,Qool Media Holdings,N/A,Today,"Los Angeles, CA"
14,https://www.indeed.com/rc/clk?jk=d142a6e8cf91b150&fccid=6576e7250aa78c3c&vjs=3,Climate Data Scientist,McKinsey & Company,N/A,30+ days ago,"Denver, CO 80202 (Union Station area)"
15,https://www.indeed.com/rc/clk?jk=f2f2b19ba7d814eb&fccid=38eb72d608d80c79&vjs=3,Data Scientist (50720585),John Deere,N/A,5 days ago,"Ottumwa, IA 52501"
16,https://www.indeed.com/rc/clk?jk=43a811a3df5cd3bb&fccid=978d9fd9799d55a8&vjs=3,Data Scientist 2,PayPal,N/A,Today,"Austin, TX 78729"
17,https://www.indeed.com/rc/clk?jk=ecea286461fee2bc&fccid=66d394411dd2efad&vjs=3,Data Scientist,kraken,N/A,30+ days ago,Remote
18,https://www.indeed.com/rc/clk?jk=1d6fdac430f71740&fccid=829335fdf5fd46d8&vjs=3,Data Scientist - Resilience Modeling,One Concern,N/A,1 day ago,"Menlo Park, CA"
19,https://www.indeed.com/rc/clk?jk=9f17809166fa4fc0&fccid=116680a29a847a70&vjs=3,Data Scientist - Vehicle Safety Data Analytics,General Motors,N/A,1 day ago,"Warren, MI"
20,https://www.indeed.com/rc/clk?jk=872641cb7c1b3820&fccid=e2a2a5c0f4f84192&vjs=3,Data Scientist,Cleveland Clinic,N/A,2 days ago,"Cleveland, OH"
21,https://www.indeed.com/rc/clk?jk=7ee6e4997258f140&fccid=f8b1d4b5fc1e6f9f&vjs=3,Junior Data Scientist,PIÑATA SCIENCES,N/A,30+ days ago,"Boston, MA"
22,https://www.indeed.com/rc/clk?jk=4c45bcdfe6d28cbe&fccid=a8f329dd0b768fb7&vjs=3,Data Scientist,Dematic,N/A,1 day ago,"Austin, TX 78746"
23,https://www.indeed.com/rc/clk?jk=652995b5279fb820&fccid=e08122e0e993cc32&vjs=3,Data Scientist,Bayer,N/A,Today,"Creve Coeur, MO"
24,https://www.indeed.com/rc/clk?jk=17babd381b01b8ad&fccid=40017b9d244dd0c8&vjs=3,Data Scientist,Streamlabs,N/A,Today,Remote
25,https://www.indeed.com/rc/clk?jk=fb7ee7ab67f277cd&fccid=a4cb2c506255e0ec&vjs=3,Data Scientist I,Health New England,N/A,4 days ago,"Springfield, MA 01144 (Metro Center area)"
26,https://www.indeed.com/rc/clk?jk=148f2e5e7a652368&fccid=2721c1c2ba33c638&vjs=3,Junior Data Scientist,Decode_M,N/A,30+ days ago,"New York, NY"
27,https://www.indeed.com/rc/clk?jk=769239a3d5f3312f&fccid=b00c5e088999b49c&vjs=3,Data Scientist,SSM Health,N/A,4 days ago,"St. Louis, MO 63132"
28,https://www.indeed.com/rc/clk?jk=8e827175297fad0a&fccid=de71a49b535e21cb&vjs=3,Data Scientist,IBM,N/A,1 day ago,"Austin, TX 73301 (St Edwards area)"
29,https://www.indeed.com/rc/clk?jk=020ebbbfaa8bf4cc&fccid=2525cc4a9a704809&vjs=3,Data Scientist (Earlier in Career),Genentech,N/A,12 days ago,"South San Francisco, CA 94080"
30,https://www.indeed.com/rc/clk?jk=f34e53574799dc48&fccid=1639254ea84748b5&vjs=3,"Data Scientist, Facebook Reality Labs",Facebook,N/A,2 days ago,Remote
31,https://www.indeed.com/rc/clk?jk=ba8c5d93b27014a6&fccid=deb234f9dd3edcea&vjs=3,Data Scientist,Fidelity Investments,N/A,Today,"Durham, NC 27709"
32,https://www.indeed.com/rc/clk?jk=32c8302663ddee3d&fccid=6576e7250aa78c3c&vjs=3,Data Scientist - Geospatial & Agriculture Analytics,McKinsey & Company,N/A,30+ days ago,"Denver, CO 80202 (Union Station area)"
33,https://www.indeed.com/rc/clk?jk=00033b83d2ff2d6f&fccid=6e1d1accd5aeee95&vjs=3,Data Scientist,Garner Health,N/A,25 days ago,Remote
34,https://www.indeed.com/rc/clk?jk=72cde6c38ec24589&fccid=504b42658f8ce15a&vjs=3,Data Scientist,Dillard's,N/A,Today,"Little Rock, AR 72201 (Riverdale area)"
35,https://www.indeed.com/rc/clk?jk=6720cf1c03a1c426&fccid=2c23f29fcd5c78da&vjs=3,Healthcare Data Scientist,pulseData,N/A,30+ days ago,"New York, NY"
36,https://www.indeed.com/rc/clk?jk=5b6143e914280645&fccid=ce9c611d79331133&vjs=3,Data Scientist,Central Pacific Bank,N/A,3 days ago,"Honolulu, HI 96813 (Downtown area)"
37,https://www.indeed.com/rc/clk?jk=d639e32ea6a2425d&fccid=b53218579f8cf88c&vjs=3,Data Scientist,Root Insurance Company,N/A,30+ days ago,"Columbus, OH"
38,https://www.indeed.com/rc/clk?jk=cec149ef1d529be0&fccid=a0c8218c689a356a&vjs=3,Data Scientist,Penske Truck Leasing and Logistics,N/A,4 days ago,"Beachwood, OH 44122"
39,https://www.indeed.com/rc/clk?jk=5a680f32795affb6&fccid=4ee8dde7f79849a9&vjs=3,Data Scientist,First American,N/A,7 days ago,"Santa Ana, CA 92707"
40,https://www.indeed.com/rc/clk?jk=2bf013127f5396c0&fccid=1a5d664d80dceb65&vjs=3,Data Scientist,Alpha Net Consulting,N/A,9 days ago,"Washington, DC"
41,https://www.indeed.com/rc/clk?jk=e2bb75011bc0a62a&fccid=60c1ebe2ca696fe8&vjs=3,Data Scientist,choozle.com,N/A,18 days ago,"Denver, CO"
42,https://www.indeed.com/rc/clk?jk=a428042df10b52d5&fccid=cc6e623ce335957a&vjs=3,Data Scientist (CONTRACT / REMOTE),Universal Music Group,N/A,30+ days ago,"Santa Monica, CA 90404 (Mid-City area)"
43,https://www.indeed.com/rc/clk?jk=99624c35075cbbf2&fccid=b3fc015a7c99e39b&vjs=3,Data Scientist,Aspen Technology,N/A,5 days ago,"Bedford, MA 01730"
44,https://www.indeed.com/rc/clk?jk=b3cdca58dadff841&fccid=aaf3b433897ea465&vjs=3,Data Scientist,"JPMorgan Chase Bank, N.A.",N/A,1 day ago,"New York, NY"
45,https://www.indeed.com/rc/clk?jk=7280a0c0e8b5e31d&fccid=ad5cd49e0f99383f&vjs=3,"Staff Data Scientist, Education",Chan Zuckerberg Initiative,N/A,3 days ago,"Redwood City, CA"
46,https://www.indeed.com/rc/clk?jk=8a57d473a31ae7eb&fccid=2a341562d64c7cdb&vjs=3,Data Scientist,University of California San Francisco,N/A,1 day ago,"San Francisco, CA 94143 (Haight-Ashbury area)"
47,https://www.indeed.com/rc/clk?jk=5f2008986b0bc356&fccid=42f139d35fc5ecb9&vjs=3,Senior Data Scientist,Imperfect Foods,N/A,30+ days ago,Remote
48,https://www.indeed.com/rc/clk?jk=038253752b429b91&fccid=12f1fd5dba253774&vjs=3,Data Scientist,Copart,N/A,9 days ago,"Dallas, TX 75254 (Far North area)"
49,https://www.indeed.com/rc/clk?jk=8529b499e47e83a8&fccid=a5551b6a900b917f&vjs=3,Data Scientist,auticon,N/A,10 days ago,"Columbus, OH"
50,https://www.indeed.com/rc/clk?jk=b6506065408f4f15&fccid=0ce02a3e84d031c6&vjs=3,Early career data scientist / analyst / statistical genetici...,Data Tecnica,N/A,30+ days ago,"Glen Echo, MD"
51,https://www.indeed.com/rc/clk?jk=c89d57cbc70ba759&fccid=4ffdd90de5b0ef8f&vjs=3,Data Scientist,Kaplan,N/A,30+ days ago,Remote
52,https://www.indeed.com/rc/clk?jk=ff06be2edbb1d21f&fccid=e76dadb9a0d8a2cf&vjs=3,Data Scientist,WeWork,N/A,2 days ago,"New York, NY"
53,https://www.indeed.com/rc/clk?jk=c061019efb61680e&fccid=edb2ec8e0dafc77b&vjs=3,Data Scientist,SCHWAN'S,N/A,9 days ago,"Marshall, MN"
54,https://www.indeed.com/rc/clk?jk=bab6ac2a44b52670&fccid=cbbd4b338cefbb46&vjs=3,Data Scientist,Power Digital Marketing,N/A,14 days ago,"San Diego, CA 92110"
55,https://www.indeed.com/rc/clk?jk=b711d6f7f138e5e2&fccid=305510b5db339177&vjs=3,Data Scientist,"Zipcar, Inc.",N/A,16 days ago,"South San Francisco, CA 94080"
56,https://www.indeed.com/rc/clk?jk=ceb25fec2f4941d4&fccid=d334e6e94ff41118&vjs=3,Data Scientist Intern,Ultra Mobile,N/A,7 days ago,"Costa Mesa, CA"
57,https://www.indeed.com/rc/clk?jk=5cbde2f1a2cb1d2b&fccid=2ae04b97d8829e58&vjs=3,Data Scientist - Senior Levels,FedEx Services,N/A,3 days ago,"Coraopolis, PA"
58,https://www.indeed.com/rc/clk?jk=58da5902fc0c5c3b&fccid=761c44c17d636bfe&vjs=3,Data Scientist,Ford Motor Company,N/A,3 days ago,"Taylor, MI"
59,https://www.indeed.com/rc/clk?jk=e733db0ef9c07616&fccid=1220ad3971071315&vjs=3,Data Scientist,Time Warner,N/A,4 days ago,"Burbank, CA"
60,https://www.indeed.com/rc/clk?jk=626f023a761899bf&fccid=0555014e7bce64c3&vjs=3,Data Scientist,"Grammarly, Inc.",N/A,30+ days ago,"San Francisco, CA 94104 (Financial District area)"
61,https://www.indeed.com/rc/clk?jk=484f1ffb38e1d982&fccid=fe2d21eef233e94a&vjs=3,Data Scientist,Amazon.com Services LLC,N/A,9 days ago,"Seattle, WA"
62,https://www.indeed.com/rc/clk?jk=a22d2a0c74543010&fccid=2b8c4aa2c50e150d&vjs=3,Associate Data Scientist,ARMADA CONSULTING,N/A,30+ days ago,"Timonium, MD 21093"
63,https://www.indeed.com/rc/clk?jk=4fa6aff648bfed5f&fccid=07585241e59583cc&vjs=3,Data Scientist I,Guardian Research Network,N/A,8 days ago,Remote
